,time,open,high,low,close,volume
68,2023-03-16 05:00:00,1640.29,1640.89,1639.65,1640.89,4153.488
69,2023-03-16 05:03:00,1640.89,1641.4,1639.41,1639.52,6357.441
70,2023-03-16 05:06:00,1639.52,1639.6,1637.93,1638.27,4529.982
71,2023-03-16 05:09:00,1638.27,1638.81,1636.55,1637.01,4583.969
72,2023-03-16 05:12:00,1637.02,1639.6,1636.65,1639.13,3989.595
73,2023-03-16 05:15:00,1639.13,1640.42,1637.01,1637.58,4214.58
74,2023-03-16 05:18:00,1637.58,1639.59,1637.58,1639.28,2581.418
75,2023-03-16 05:21:00,1639.28,1641.75,1639.27,1641.63,6274.168
76,2023-03-16 05:24:00,1641.63,1644.97,1641.6,1644.44,17351.149
77,2023-03-16 05:27:00,1644.43,1647.2,1644.29,1645.23,9040.288
78,2023-03-16 05:30:00,1645.24,1648.92,1643.9,1647.42,11777.945
79,2023-03-16 05:33:00,1647.41,1648.15,1644.54,1645.0,9643.266
80,2023-03-16 05:36:00,1645.02,1646.1,1644.03,1645.58,7464.67
81,2023-03-16 05:39:00,1645.58,1648.34,1645.58,1646.41,9229.188
82,2023-03-16 05:42:00,1646.4,1646.52,1643.58,1644.23,5032.741
83,2023-03-16 05:45:00,1644.24,1647.62,1643.56,1646.69,6719.268
84,2023-03-16 05:48:00,1646.76,1646.99,1642.74,1643.99,6529.153
85,2023-03-16 05:51:00,1643.99,1645.63,1643.23,1644.96,2764.672
86,2023-03-16 05:54:00,1644.95,1646.2,1644.3,1644.35,5494.768
87,2023-03-16 05:57:00,1644.35,1645.21,1643.0,1643.98,2832.1
88,2023-03-16 06:00:00,1643.98,1645.8,1643.34,1645.49,3783.564
89,2023-03-16 06:03:00,1645.48,1651.44,1645.07,1649.96,16913.065
90,2023-03-16 06:06:00,1649.96,1651.99,1647.52,1649.63,9950.271
91,2023-03-16 06:09:00,1649.64,1651.65,1649.11,1651.34,10125.413
92,2023-03-16 06:12:00,1651.33,1651.56,1647.22,1648.68,10297.426
93,2023-03-16 06:15:00,1648.69,1650.93,1646.77,1647.28,7654.092
94,2023-03-16 06:18:00,1647.28,1647.68,1644.78,1646.84,7093.531
95,2023-03-16 06:21:00,1646.84,1649.2,1645.9,1646.29,4078.051
96,2023-03-16 06:24:00,1646.29,1648.6,1645.92,1648.45,3780.395
97,2023-03-16 06:27:00,1648.44,1648.44,1645.35,1646.29,3292.079
98,2023-03-16 06:30:00,1646.28,1648.1,1646.28,1647.48,2037.108
99,2023-03-16 06:33:00,1647.48,1647.62,1647.06,1647.07,64.908
